 Partition,Sequence,TradeDate,Id,Level,MatchingType,Name,OrderBookId,Timestamp,Type,isEndOfTrading
 4,1000005,1725408000000000000,5,1,3,PRE_OPEN,110621,1725440000000000000,0,0
 4,1000012,1725408000000000000,12,1,1,OPEN,110621,1725448000000000000,0,0
 4,1000014,1725408000000000000,14,1,3,PRE_CSPA,110621,1725530000000000000,0,0
 4,1000008,1725408000000000000,8,1,3,ADJUST_ON,110621,1725531000000000000,0,0
 4,1000010,1725408000000000000,10,1,4,CSPA,110621,1725531000000000000,0,0
 4,1000004,1725408000000000000,4,1,3,ADJUST,110621,1725531000000000000,0,0
 4,1000016,1725408000000000000,16,1,3,PURGE_ORDERS,110621,1725535000000000000,0,0
 4,1000017,1725408000000000000,17,1,3,SYSTEM_MAINTENANCE,110621,1725536000000000000,0,0
 4,1000009,1725408000000000000,9,1,3,CLOSE,110621,1725540000000000000,0,1
